learning_rate,hidden_size,epochs,avg_rmse
0.001,32,20,5.824078949746927
0.001,32,50,5.909634689512585
0.001,32,100,6.089371825305316
0.001,64,20,5.835791011266456
0.001,64,50,5.97844357892234
0.001,64,100,6.343137221884449
0.001,128,20,5.883683688899187
0.001,128,50,6.1263578261297855
0.001,128,100,7.110685158416947
0.01,32,20,6.28514745079797
0.01,32,50,7.223459556413642
0.01,32,100,8.614791471668033
0.01,64,20,6.702114739737691
0.01,64,50,8.044511762424664
0.01,64,100,8.670769221942672
0.01,128,20,7.166141897648036
0.01,128,50,7.978428395028217
0.01,128,100,8.173987536396353
